prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	611	270	87	0.88	0.69	0.774
2	STARSEQR	2	528	301	170	0.76	0.64	0.695
3	ARRIBA_hc	3	432	158	266	0.62	0.73	0.671
4	ARRIBA	4	458	241	240	0.66	0.66	0.66
5	TrinityFusion-C	2	317	16	381	0.45	0.95	0.611
6	ChimPipe	3	307	8	391	0.44	0.97	0.605
7	TrinityFusion-UC	2	300	34	398	0.43	0.9	0.582
8	SOAP-fuse	2	294	134	404	0.42	0.69	0.522
9	FUSIONCATCHER_v1.10_June192019	4	439	563	259	0.63	0.44	0.518
10	InFusion	5	359	334	339	0.51	0.52	0.515
11	STARCHIP_csm10_pGm2_May012019	4	262	82	436	0.38	0.76	0.507
12	TopHat-Fusion	6	346	339	352	0.5	0.51	0.505
13	MapSplice	3	327	283	371	0.47	0.54	0.503
14	TrinityFusion-D	2	232	24	466	0.33	0.91	0.484
15	JAFFA-Direct	3	430	716	268	0.62	0.38	0.471
16	JAFFA-Assembly	3	297	297	401	0.43	0.5	0.462
17	PIZZLY	4	303	405	395	0.43	0.43	0.43
18	PRADA	3	193	21	505	0.28	0.9	0.427
19	JAFFA-Hybrid	3	433	1834	265	0.62	0.19	0.291
20	ChimeraScan	7	210	720	488	0.3	0.23	0.26
21	ChimeraScan	8	186	561	512	0.27	0.25	0.26
22	deFuse	19	239	966	459	0.34	0.2	0.252
23	nFuse	15	250	1243	448	0.36	0.17	0.231
24	FusionHunter	3	98	58	600	0.14	0.63	0.229
25	FusionHunter	4	97	56	601	0.14	0.63	0.229
26	FusionHunter	5	96	56	602	0.14	0.63	0.229
27	EricScript	15	210	2257	488	0.3	0.09	0.138
