prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	445	167	253	0.64	0.73	0.682
2	ChimPipe	3	306	52	392	0.44	0.85	0.58
3	TrinityFusion-C	2	303	98	395	0.43	0.76	0.549
4	ARRIBA_hc	3	415	396	283	0.59	0.51	0.547
5	TrinityFusion-UC	2	287	98	411	0.41	0.75	0.53
6	STARSEQR	2	529	796	169	0.76	0.4	0.524
7	ARRIBA	4	441	563	257	0.63	0.44	0.518
8	SOAP-fuse	2	284	185	414	0.41	0.61	0.49
9	MapSplice	3	327	320	371	0.47	0.51	0.489
10	InFusion	5	354	418	344	0.51	0.46	0.484
11	FUSIONCATCHER_v1.10_June192019	7	345	395	353	0.49	0.47	0.48
12	TrinityFusion-D	2	225	50	473	0.32	0.82	0.46
13	TopHat-Fusion	5	366	539	332	0.52	0.4	0.452
14	TopHat-Fusion	6	344	470	354	0.49	0.42	0.452
15	JAFFA-Direct	3	428	819	270	0.61	0.34	0.437
16	STARCHIP_csm10_pGm2_May012019	4	258	279	440	0.37	0.48	0.418
17	PRADA	3	193	47	505	0.28	0.8	0.415
18	JAFFA-Assembly	3	295	422	403	0.42	0.41	0.415
19	JAFFA-Assembly	4	283	386	415	0.41	0.42	0.415
20	PIZZLY	4	292	691	406	0.42	0.3	0.35
21	JAFFA-Hybrid	3	431	2019	267	0.62	0.18	0.279
22	ChimeraScan	7	207	829	491	0.3	0.2	0.24
23	deFuse	14	286	1532	412	0.41	0.16	0.23
24	FusionHunter	3	99	63	599	0.14	0.61	0.228
25	FusionHunter	4	98	61	600	0.14	0.62	0.228
26	FusionHunter	5	97	59	601	0.14	0.62	0.228
27	FusionHunter	6	95	57	603	0.14	0.62	0.228
28	nFuse	14	259	1505	439	0.37	0.15	0.213
29	EricScript	18	188	2009	510	0.27	0.09	0.135
