prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	7	273	125	78	0.78	0.69	0.732
2	TrinityFusion-C	3	236	58	115	0.67	0.8	0.729
3	TrinityFusion-UC	3	223	56	128	0.64	0.8	0.711
4	SOAP-fuse	7	219	96	132	0.62	0.7	0.658
5	ChimPipe	3	228	126	123	0.65	0.64	0.645
6	TrinityFusion-D	3	182	53	169	0.52	0.77	0.621
7	PRADA	3	183	57	168	0.52	0.76	0.617
8	MapSplice	6	256	242	95	0.73	0.51	0.6
9	MapSplice	7	241	211	110	0.69	0.53	0.6
10	MapSplice	8	232	188	119	0.66	0.55	0.6
11	ARRIBA_hc	6	260	293	91	0.74	0.47	0.575
12	FUSIONCATCHER_v1.10_June192019	9	268	357	83	0.76	0.43	0.549
13	FUSIONCATCHER_v1.10_June192019	10	255	320	96	0.73	0.44	0.549
14	InFusion	10	203	223	148	0.58	0.48	0.525
15	ARRIBA	6	278	457	73	0.79	0.38	0.513
16	JAFFA-Assembly	8	206	284	145	0.59	0.42	0.491
17	STARSEQR	7	248	464	103	0.71	0.35	0.469
18	STARSEQR	9	224	380	127	0.64	0.37	0.469
19	TopHat-Fusion	7	249	488	102	0.71	0.34	0.46
20	JAFFA-Direct	8	208	377	143	0.59	0.36	0.447
21	STARCHIP_csm10_pGm2_May012019	4	195	343	156	0.56	0.36	0.438
22	STARCHIP_csm10_pGm2_May012019	6	174	276	177	0.5	0.39	0.438
23	PIZZLY	6	203	482	148	0.58	0.3	0.395
24	FusionHunter	5	90	66	261	0.26	0.58	0.359
25	JAFFA-Hybrid	9	230	1069	121	0.66	0.18	0.283
26	ChimeraScan	20	77	138	274	0.22	0.36	0.273
27	deFuse	20	179	1145	172	0.51	0.14	0.22
28	nFuse	39	96	512	255	0.27	0.16	0.201
29	EricScript	23	149	1603	202	0.42	0.09	0.148
30	EricScript	24	143	1523	208	0.41	0.09	0.148
