prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	52	5	5	0.91	0.91	0.91	0.09
STARSEQR	3	48	7	9	0.84	0.87	0.855	0.13
ChimPipe	3	42	0	15	0.74	1	0.851	0
SOAP-fuse	2	43	3	14	0.75	0.93	0.83	0.07
ARRIBA_hc	3	43	8	14	0.75	0.84	0.792	0.16
PRADA	4	35	0	22	0.61	1	0.758	0
ARRIBA	4	46	20	11	0.81	0.7	0.751	0.3
FUSIONCATCHER_v1.10_June192019	3	37	13	20	0.65	0.74	0.692	0.26
FusionHunter	3	29	1	28	0.51	0.97	0.669	0.03
JAFFA-Hybrid	1	29	7	28	0.51	0.81	0.626	0.19
JAFFA-Assembly	1	29	7	28	0.51	0.81	0.626	0.19
STARCHIP_csm10_pGm2_May012019	3	26	4	31	0.46	0.87	0.602	0.13
TrinityFusion-UC	2	23	0	34	0.4	1	0.571	0
MapSplice	8	28	14	29	0.49	0.67	0.566	0.33
TrinityFusion-C	2	22	1	35	0.39	0.96	0.555	0.04
PIZZLY	6	32	28	25	0.56	0.53	0.545	0.47
InFusion	8	28	21	29	0.49	0.57	0.527	0.43
deFuse	7	30	30	27	0.53	0.5	0.515	0.5
TopHat-Fusion	8	29	51	28	0.51	0.36	0.422	0.64
TrinityFusion-D	4	15	1	42	0.26	0.94	0.407	0.0600000000000001
nFuse	23	20	26	37	0.35	0.43	0.386	0.57
EricScript	7	28	63	29	0.49	0.31	0.38	0.69
ChimeraScan	6	29	72	28	0.51	0.29	0.37	0.71
