prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	4	46	6	11	0.81	0.88	0.844	0.12
STARSEQR	3	48	12	9	0.84	0.8	0.82	0.2
ChimPipe	3	42	5	15	0.74	0.89	0.808	0.11
SOAP-fuse	5	38	5	19	0.67	0.88	0.761	0.12
PRADA	4	35	0	22	0.61	1	0.758	0
ARRIBA_hc	3	42	23	15	0.74	0.65	0.692	0.35
FUSIONCATCHER_v1.10_June192019	3	37	16	20	0.65	0.7	0.674	0.3
FusionHunter	3	29	1	28	0.51	0.97	0.669	0.03
ARRIBA	4	44	42	13	0.77	0.51	0.614	0.49
JAFFA-Hybrid	2	28	8	29	0.49	0.78	0.602	0.22
JAFFA-Assembly	2	28	8	29	0.49	0.78	0.602	0.22
MapSplice	8	28	14	29	0.49	0.67	0.566	0.33
TrinityFusion-UC	2	23	1	34	0.4	0.96	0.565	0.04
TrinityFusion-C	2	22	1	35	0.39	0.96	0.555	0.04
InFusion	8	28	22	29	0.49	0.56	0.523	0.44
STARCHIP_csm10_pGm2_May012019	3	26	18	31	0.46	0.59	0.517	0.41
PIZZLY	9	24	16	33	0.42	0.6	0.494	0.4
deFuse	7	30	36	27	0.53	0.45	0.487	0.55
TopHat-Fusion	8	29	51	28	0.51	0.36	0.422	0.64
TrinityFusion-D	4	14	1	43	0.25	0.93	0.394	0.07
nFuse	23	20	28	37	0.35	0.42	0.382	0.58
EricScript	6	30	81	27	0.53	0.27	0.358	0.73
ChimeraScan	6	29	78	28	0.51	0.27	0.353	0.73
