prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	ChimPipe	3	39	0	4	0.91	1	0.953
2	SOAP-fuse	2	40	3	3	0.93	0.93	0.93
3	STAR_FUSION_v1.5	4	41	4	2	0.95	0.91	0.93
4	STARSEQR	3	41	7	2	0.95	0.85	0.897
5	PRADA	5	33	0	10	0.77	1	0.87
6	ARRIBA_hc	3	37	8	6	0.86	0.82	0.84
7	FUSIONCATCHER_v1.10_June192019	3	37	13	6	0.86	0.74	0.795
8	FusionHunter	3	27	1	16	0.63	0.96	0.761
9	ARRIBA	4	38	20	5	0.88	0.66	0.754
10	JAFFA-Assembly	2	27	5	16	0.63	0.84	0.72
11	JAFFA-Hybrid	2	27	5	16	0.63	0.84	0.72
12	STARCHIP_csm10_pGm2_May012019	3	25	4	18	0.58	0.86	0.693
13	TrinityFusion-UC	2	22	0	21	0.51	1	0.675
14	TrinityFusion-C	2	21	1	22	0.49	0.95	0.647
15	MapSplice	8	27	14	16	0.63	0.66	0.645
16	PIZZLY	9	24	11	19	0.56	0.69	0.618
17	InFusion	8	27	21	16	0.63	0.56	0.593
18	deFuse	7	28	30	15	0.65	0.48	0.552
19	TrinityFusion-D	4	14	1	29	0.33	0.93	0.487
20	TopHat-Fusion	8	27	51	16	0.63	0.35	0.45
21	nFuse	23	19	26	24	0.44	0.42	0.43
22	ChimeraScan	8	23	47	20	0.53	0.33	0.407
23	EricScript	10	23	50	20	0.53	0.32	0.399
