prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	ChimPipe	4	37	4	6	0.86	0.9	0.88
2	STAR_FUSION_v1.5	5	39	7	4	0.91	0.85	0.879
3	SOAP-fuse	5	37	6	6	0.86	0.86	0.86
4	PRADA	5	33	1	10	0.77	0.97	0.859
5	STARSEQR	5	37	13	6	0.86	0.74	0.795
6	FUSIONCATCHER_v1.10_June192019	4	36	14	7	0.84	0.72	0.775
7	FusionHunter	3	27	3	16	0.63	0.9	0.741
8	ARRIBA_hc	5	33	16	10	0.77	0.67	0.717
9	JAFFA-Hybrid	2	27	9	16	0.63	0.75	0.685
10	JAFFA-Assembly	2	27	9	16	0.63	0.75	0.685
11	TrinityFusion-UC	2	22	2	21	0.51	0.92	0.656
12	TrinityFusion-C	2	21	2	22	0.49	0.91	0.637
13	MapSplice	8	27	15	16	0.63	0.64	0.635
14	ARRIBA	7	29	22	14	0.67	0.57	0.616
15	InFusion	8	27	23	16	0.63	0.54	0.582
16	PIZZLY	9	24	16	19	0.56	0.6	0.579
17	STARCHIP_csm10_pGm2_May012019	4	24	16	19	0.56	0.6	0.579
18	deFuse	7	28	38	15	0.65	0.42	0.51
19	TrinityFusion-D	4	14	1	29	0.33	0.93	0.487
20	TopHat-Fusion	8	27	53	16	0.63	0.34	0.442
21	nFuse	23	19	29	24	0.44	0.4	0.419
22	ChimeraScan	8	23	52	20	0.53	0.31	0.391
23	EricScript	16	20	45	23	0.47	0.31	0.374
