prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	716	512	237	0.75	0.58	0.654	0.42
ARRIBA_hc	3	480	352	473	0.5	0.58	0.537	0.42
STARSEQR	2	603	723	350	0.63	0.45	0.525	0.55
ARRIBA	1	696	1006	257	0.73	0.41	0.525	0.59
TrinityFusion-C	2	349	70	604	0.37	0.83	0.512	0.17
ChimPipe	3	330	32	623	0.35	0.91	0.506	0.09
TrinityFusion-UC	2	326	79	627	0.34	0.8	0.477	0.2
InFusion	5	395	387	558	0.41	0.51	0.455	0.49
FUSIONCATCHER_v1.10_June192019	4	468	672	485	0.49	0.41	0.446	0.59
TopHat-Fusion	5	409	513	544	0.43	0.44	0.435	0.56
MapSplice	3	344	306	609	0.36	0.53	0.429	0.47
SOAP-fuse	2	301	182	652	0.32	0.62	0.422	0.38
JAFFA-Direct	3	466	794	487	0.49	0.37	0.422	0.63
STARCHIP_csm10_pGm2_May012019	4	302	246	651	0.32	0.55	0.405	0.45
TrinityFusion-D	2	244	41	709	0.26	0.86	0.399	0.14
JAFFA-Assembly	3	320	400	633	0.34	0.44	0.384	0.56
PRADA	3	202	39	751	0.21	0.84	0.336	0.16
PIZZLY	4	327	671	626	0.34	0.33	0.335	0.67
JAFFA-Hybrid	3	477	1983	476	0.5	0.19	0.275	0.81
deFuse	12	343	1720	610	0.36	0.17	0.231	0.83
nFuse	14	297	1476	656	0.31	0.17	0.22	0.83
ChimeraScan	8	196	653	757	0.21	0.23	0.22	0.77
FusionHunter	7	91	58	862	0.1	0.61	0.172	0.39
EricScript	18	187	2010	766	0.2	0.09	0.124	0.91
