prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	ChimPipe	3	40	0	6	0.87	1	0.93
2	STAR_FUSION_v1.5	2	44	5	2	0.96	0.9	0.929
3	SOAP-fuse	2	42	3	4	0.91	0.93	0.92
4	STARSEQR	3	43	7	3	0.93	0.86	0.894
5	PRADA	5	34	0	12	0.74	1	0.851
6	ARRIBA_hc	3	39	8	7	0.85	0.83	0.84
7	FUSIONCATCHER_v1.10_June192019	3	37	13	9	0.8	0.74	0.769
8	ARRIBA	4	40	20	6	0.87	0.67	0.757
9	FusionHunter	3	27	1	19	0.59	0.96	0.731
10	JAFFA-Hybrid	2	27	5	19	0.59	0.84	0.693
11	JAFFA-Assembly	2	27	5	19	0.59	0.84	0.693
12	STARCHIP_csm10_pGm2_May012019	3	25	4	21	0.54	0.86	0.663
13	TrinityFusion-UC	2	22	0	24	0.48	1	0.649
14	MapSplice	8	27	14	19	0.59	0.66	0.623
15	TrinityFusion-C	2	21	1	25	0.46	0.95	0.62
16	PIZZLY	9	25	11	21	0.54	0.69	0.606
17	InFusion	8	27	21	19	0.59	0.56	0.575
18	deFuse	7	29	30	17	0.63	0.49	0.551
19	TrinityFusion-D	4	15	1	31	0.33	0.94	0.489
20	TopHat-Fusion	8	27	51	19	0.59	0.35	0.439
21	nFuse	23	19	26	27	0.41	0.42	0.415
22	ChimeraScan	8	23	47	23	0.5	0.33	0.398
23	EricScript	9	24	52	22	0.52	0.32	0.396
24	EricScript	10	24	50	22	0.52	0.32	0.396
