prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
ChimPipe	4	38	3	8	0.83	0.93	0.877	0.07
STAR_FUSION_v1.5	5	40	6	6	0.87	0.87	0.87	0.13
SOAP-fuse	5	38	5	8	0.83	0.88	0.854	0.12
PRADA	5	34	0	12	0.74	1	0.851	0
STARSEQR	3	43	17	3	0.93	0.72	0.812	0.28
FUSIONCATCHER_v1.10_June192019	4	36	14	10	0.78	0.72	0.749	0.28
FusionHunter	3	27	3	19	0.59	0.9	0.713	0.1
ARRIBA_hc	5	33	16	13	0.72	0.67	0.694	0.33
JAFFA-Hybrid	2	27	9	19	0.59	0.75	0.66	0.25
JAFFA-Assembly	2	27	9	19	0.59	0.75	0.66	0.25
TrinityFusion-UC	2	22	2	24	0.48	0.92	0.631	0.08
ARRIBA	7	30	21	16	0.65	0.59	0.619	0.41
MapSplice	8	27	15	19	0.59	0.64	0.614	0.36
TrinityFusion-C	2	21	2	25	0.46	0.91	0.611	0.09
InFusion	8	27	23	19	0.59	0.54	0.564	0.46
STARCHIP_csm10_pGm2_May012019	4	24	16	22	0.52	0.6	0.557	0.4
PIZZLY	9	24	16	22	0.52	0.6	0.557	0.4
deFuse	7	29	37	17	0.63	0.44	0.518	0.56
TrinityFusion-D	4	14	1	32	0.3	0.93	0.454	0.07
TopHat-Fusion	8	27	53	19	0.59	0.34	0.431	0.66
nFuse	23	19	29	27	0.41	0.4	0.405	0.6
ChimeraScan	8	23	52	23	0.5	0.31	0.383	0.69
EricScript	10	24	58	22	0.52	0.29	0.372	0.71
