prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	2	822	377	1307	0.39	0.69	0.498
2	STARSEQR	1	817	631	1312	0.38	0.56	0.453
3	ARRIBA	1	822	861	1307	0.39	0.49	0.434
4	ARRIBA_hc	2	567	354	1562	0.27	0.62	0.376
5	TopHat-Fusion	3	594	913	1535	0.28	0.39	0.326
6	FUSIONCATCHER_v1.10_June192019	3	531	671	1598	0.25	0.44	0.319
7	JAFFA-Direct	2	631	1403	1498	0.3	0.31	0.305
8	JAFFA-Assembly	1	445	461	1684	0.21	0.49	0.294
9	TrinityFusion-C	2	363	38	1766	0.17	0.91	0.286
10	STARCHIP_csm10_pGm2_May012019	4	382	178	1747	0.18	0.68	0.285
11	InFusion	4	431	475	1698	0.2	0.48	0.282
12	ChimPipe	3	338	24	1791	0.16	0.93	0.273
13	TrinityFusion-UC	2	332	53	1797	0.16	0.86	0.27
14	MapSplice	3	358	292	1771	0.17	0.55	0.26
15	PIZZLY	3	456	979	1673	0.21	0.32	0.254
16	JAFFA-Hybrid	2	682	2582	1447	0.32	0.21	0.254
17	SOAP-fuse	2	301	164	1828	0.14	0.65	0.23
18	SOAP-fuse	3	294	158	1835	0.14	0.65	0.23
19	deFuse	6	483	1966	1646	0.23	0.2	0.214
20	deFuse	7	481	1949	1648	0.23	0.2	0.214
21	TrinityFusion-D	2	239	36	1890	0.11	0.87	0.195
22	nFuse	11	414	1818	1715	0.19	0.19	0.19
23	nFuse	12	395	1672	1734	0.19	0.19	0.19
24	PRADA	3	213	30	1916	0.1	0.88	0.18
25	ChimeraScan	4	393	2209	1736	0.18	0.15	0.164
26	ChimeraScan	5	319	1415	1810	0.15	0.18	0.164
27	EricScript	12	289	2967	1840	0.14	0.09	0.11
28	EricScript	18	235	1962	1894	0.11	0.11	0.11
29	EricScript	19	228	1850	1901	0.11	0.11	0.11
30	FusionHunter	3	101	61	2028	0.05	0.62	0.093
31	FusionHunter	4	100	59	2029	0.05	0.63	0.093
32	FusionHunter	5	98	58	2031	0.05	0.63	0.093
33	FusionHunter	6	96	56	2033	0.05	0.63	0.093
