prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	FDR
STAR_FUSION_v1.5	2	851	388	1278	0.4	0.69	0.506	0.31
STARSEQR	1	818	632	1311	0.38	0.56	0.453	0.44
ARRIBA	1	856	864	1273	0.4	0.5	0.444	0.5
ARRIBA_hc	2	593	355	1536	0.28	0.63	0.388	0.37
TopHat-Fusion	3	600	932	1529	0.28	0.39	0.326	0.61
FUSIONCATCHER_v1.10_June192019	3	534	678	1595	0.25	0.44	0.319	0.56
JAFFA-Direct	2	634	1416	1495	0.3	0.31	0.305	0.69
TrinityFusion-C	2	382	38	1747	0.18	0.91	0.301	0.09
STARCHIP_csm10_pGm2_May012019	3	394	209	1735	0.19	0.65	0.294	0.35
JAFFA-Assembly	1	447	462	1682	0.21	0.49	0.294	0.51
InFusion	4	436	477	1693	0.2	0.48	0.282	0.52
ChimPipe	3	340	24	1789	0.16	0.93	0.273	0.07
TrinityFusion-UC	2	349	56	1780	0.16	0.86	0.27	0.14
PIZZLY	3	467	993	1662	0.22	0.32	0.261	0.68
MapSplice	3	358	293	1771	0.17	0.55	0.26	0.45
JAFFA-Hybrid	2	683	2590	1446	0.32	0.21	0.254	0.79
SOAP-fuse	2	314	171	1815	0.15	0.65	0.244	0.35
deFuse	6	481	1971	1648	0.23	0.2	0.214	0.8
TrinityFusion-D	2	249	36	1880	0.12	0.87	0.211	0.13
nFuse	9	445	2246	1684	0.21	0.17	0.188	0.83
PRADA	3	213	30	1916	0.1	0.88	0.18	0.12
ChimeraScan	4	394	2241	1735	0.19	0.15	0.168	0.85
EricScript	19	224	1854	1905	0.11	0.11	0.11	0.89
FusionHunter	5	97	59	2032	0.05	0.62	0.093	0.38
