prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	5	333	66	64	0.84	0.83	0.835
2	ARRIBA_hc	4	310	106	87	0.78	0.75	0.765
3	TrinityFusion-C	2	255	16	142	0.64	0.94	0.762
4	ChimPipe	3	241	8	156	0.61	0.97	0.749
5	TrinityFusion-UC	2	241	34	156	0.61	0.88	0.721
6	ARRIBA	5	320	173	77	0.81	0.65	0.721
7	STARSEQR	3	345	246	52	0.87	0.58	0.696
8	SOAP-fuse	6	235	56	162	0.59	0.81	0.683
9	TrinityFusion-D	2	198	24	199	0.5	0.89	0.64
10	MapSplice	5	277	225	120	0.7	0.55	0.616
11	MapSplice	6	265	204	132	0.67	0.57	0.616
12	PRADA	3	184	21	213	0.46	0.9	0.609
13	STARCHIP_csm10_pGm2_May012019	4	203	81	194	0.51	0.71	0.594
14	InFusion	7	264	237	133	0.66	0.53	0.588
15	FUSIONCATCHER_v1.10_June192019	9	272	259	125	0.69	0.51	0.587
16	TopHat-Fusion	6	279	334	118	0.7	0.46	0.555
17	JAFFA-Assembly	5	242	261	155	0.61	0.48	0.537
18	PIZZLY	5	227	303	170	0.57	0.43	0.49
19	JAFFA-Direct	4	307	582	90	0.77	0.35	0.481
20	FusionHunter	3	94	58	303	0.24	0.62	0.346
21	JAFFA-Hybrid	9	242	986	155	0.61	0.2	0.301
22	ChimeraScan	9	137	435	260	0.35	0.24	0.285
23	deFuse	19	193	966	204	0.49	0.17	0.252
24	nFuse	19	167	978	230	0.42	0.15	0.221
25	EricScript	24	147	1396	250	0.37	0.1	0.157
