prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	389	109	45	0.9	0.78	0.836
2	ARRIBA_hc	4	331	106	103	0.76	0.76	0.76
3	TrinityFusion-C	2	272	16	162	0.63	0.94	0.754
4	ChimPipe	3	256	8	178	0.59	0.97	0.734
5	ARRIBA	5	344	173	90	0.79	0.67	0.725
6	TrinityFusion-UC	2	256	34	178	0.59	0.88	0.706
7	STARSEQR	3	365	246	69	0.84	0.6	0.7
8	SOAP-fuse	6	246	58	188	0.57	0.81	0.669
9	TrinityFusion-D	2	209	24	225	0.48	0.9	0.626
10	MapSplice	4	294	249	140	0.68	0.54	0.602
11	MapSplice	5	284	226	150	0.65	0.56	0.602
12	STARCHIP_csm10_pGm2_May012019	4	215	82	219	0.5	0.72	0.59
13	FUSIONCATCHER_v1.10_June192019	9	288	260	146	0.66	0.53	0.588
14	InFusion	7	274	237	160	0.63	0.54	0.582
15	PRADA	3	188	21	246	0.43	0.9	0.582
16	TopHat-Fusion	6	291	339	143	0.67	0.46	0.545
17	JAFFA-Assembly	4	259	284	175	0.6	0.48	0.533
18	PIZZLY	5	235	303	199	0.54	0.44	0.485
19	JAFFA-Direct	4	322	585	112	0.74	0.36	0.484
20	FusionHunter	3	94	58	340	0.22	0.62	0.325
21	JAFFA-Hybrid	9	249	988	185	0.57	0.2	0.296
22	ChimeraScan	9	139	437	295	0.32	0.24	0.274
23	deFuse	19	197	966	237	0.45	0.17	0.247
24	nFuse	16	202	1169	232	0.47	0.15	0.227
25	EricScript	24	147	1397	287	0.34	0.1	0.155
