prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1
1	STAR_FUSION_v1.5	4	385	109	49	0.89	0.78	0.831
2	ARRIBA_hc	4	325	106	109	0.75	0.75	0.75
3	TrinityFusion-C	2	265	16	169	0.61	0.94	0.74
4	ChimPipe	3	255	8	179	0.59	0.97	0.734
5	ARRIBA	5	338	173	96	0.78	0.66	0.715
6	STARSEQR	3	367	246	67	0.85	0.6	0.703
7	TrinityFusion-UC	2	252	34	182	0.58	0.88	0.699
8	SOAP-fuse	6	240	56	194	0.55	0.81	0.655
9	TrinityFusion-D	2	205	24	229	0.47	0.9	0.618
10	MapSplice	4	294	248	140	0.68	0.54	0.602
11	MapSplice	5	284	225	150	0.65	0.56	0.602
12	STARCHIP_csm10_pGm2_May012019	4	214	81	220	0.49	0.73	0.586
13	FUSIONCATCHER_v1.10_June192019	7	313	327	121	0.72	0.49	0.583
14	FUSIONCATCHER_v1.10_June192019	8	296	288	138	0.68	0.51	0.583
15	PRADA	3	188	21	246	0.43	0.9	0.582
16	InFusion	7	273	237	161	0.63	0.54	0.582
17	TopHat-Fusion	6	290	334	144	0.67	0.46	0.545
18	JAFFA-Assembly	3	264	296	170	0.61	0.47	0.531
19	JAFFA-Assembly	5	251	261	183	0.58	0.49	0.531
20	JAFFA-Direct	4	322	582	112	0.74	0.36	0.484
21	PIZZLY	5	232	303	202	0.53	0.43	0.475
22	FusionHunter	5	94	56	340	0.22	0.63	0.326
23	JAFFA-Hybrid	9	250	986	184	0.58	0.2	0.297
24	ChimeraScan	8	159	559	275	0.37	0.22	0.276
25	deFuse	19	197	966	237	0.45	0.17	0.247
26	nFuse	16	201	1169	233	0.46	0.15	0.226
27	EricScript	23	155	1471	279	0.36	0.1	0.157
